rounded_hour,SA_int,count
2018-12-13,-1,6
2018-12-13,0,54
2018-12-13,1,40
2018-12-14,-1,18
2018-12-14,0,42
2018-12-14,1,40
2018-12-15,-1,19
2018-12-15,0,51
2018-12-15,1,30
2018-12-16,-1,17
2018-12-16,0,48
2018-12-16,1,35
2018-12-17,-1,20
2018-12-17,0,48
2018-12-17,1,32
2018-12-18,-1,16
2018-12-18,0,41
2018-12-18,1,43
2018-12-19,-1,10
2018-12-19,0,55
2018-12-19,1,35
2018-12-20,-1,22
2018-12-20,0,45
2018-12-20,1,33
2018-12-21,-1,11
2018-12-21,0,51
2018-12-21,1,38
2018-12-22,-1,20
2018-12-22,0,45
2018-12-22,1,35
2018-12-23,-1,8
2018-12-23,0,62
2018-12-23,1,30
2018-12-24,-1,25
2018-12-24,0,45
2018-12-24,1,30
2018-12-25,-1,20
2018-12-25,0,58
2018-12-25,1,22
2018-12-26,-1,17
2018-12-26,0,51
2018-12-26,1,32
2018-12-27,-1,9
2018-12-27,0,53
2018-12-27,1,38
2018-12-28,-1,19
2018-12-28,0,51
2018-12-28,1,30
2018-12-29,-1,13
2018-12-29,0,55
2018-12-29,1,32
2018-12-30,-1,11
2018-12-30,0,61
2018-12-30,1,28
2018-12-31,-1,17
2018-12-31,0,61
2018-12-31,1,22
